,code,start_date,end_date
692,bb1512,2014-12-15,2015-12-14
693,bb1601,2015-01-19,2016-01-15
694,bb1602,2015-02-16,2016-02-19
695,bb1603,2015-03-16,2016-03-14
696,bb1604,2015-04-16,2016-04-15
697,bb1605,2015-05-18,2016-05-16
698,bb1606,2015-06-15,2016-06-16
699,bb1607,2015-07-15,2016-07-14
700,bb1608,2015-08-17,2016-08-12
701,bb1609,2015-09-17,2016-09-14
702,bb1610,2015-10-22,2016-10-21
703,bb1611,2015-11-16,2016-11-14
704,bb1612,2015-12-15,2016-12-14
705,bb1701,2016-01-18,2017-01-16
706,bb1702,2016-02-22,2017-02-16
707,bb1703,2016-03-15,2017-03-14
708,bb1704,2016-04-18,2017-04-18
709,bb1705,2016-05-17,2017-05-15
710,bb1706,2016-06-17,2017-06-14
711,bb1707,2016-07-15,2017-07-14
712,bb1708,2016-08-15,2017-08-14
713,bb1709,2016-09-19,2017-09-14
714,bb1710,2016-10-24,2017-10-20
715,bb1711,2016-11-15,2017-11-14
716,bb1712,2016-12-15,2017-12-14
717,bb1801,2017-01-17,2018-01-15
718,bb1802,2017-02-17,2018-02-14
719,bb1803,2017-03-15,2018-03-14
720,bb1804,2017-04-19,2018-04-17
721,bb1805,2017-05-16,2018-05-15
722,bb1806,2017-06-15,2018-06-14
723,bb1807,2017-07-17,2018-07-13
724,bb1808,2017-08-15,2018-08-14
725,bb1809,2017-09-15,2018-09-14
726,bb1810,2017-10-23,2018-10-19
727,bb1811,2017-11-15,2018-11-14
728,bb1812,2017-12-15,2018-12-14
729,bb1901,2018-01-16,2019-01-15
730,bb1902,2018-02-22,2019-02-21
731,bb1903,2018-03-15,2019-03-14
732,bb1904,2018-04-18,2019-04-15
733,bb1905,2018-05-16,2019-05-17
734,bb1906,2018-06-15,2019-06-17
735,bb1907,2018-07-16,2019-07-12
736,bb1908,2018-08-15,2019-08-14
737,bb1909,2018-09-17,2019-09-16
738,bb1910,2018-10-22,2019-10-21
739,bb1911,2018-11-15,2019-11-14
740,bb1912,2018-12-17,2019-12-13
741,bb2001,2019-01-16,2020-01-15
742,bb2002,2019-02-22,2020-02-14
743,bb2003,2019-03-15,2020-03-13
744,bb2004,2019-04-16,2020-04-14
745,bb2005,2019-05-20,2020-05-15
746,bb2006,2019-06-18,2020-06-12
747,bb2007,2019-07-15,2020-07-14
748,bb2008,2019-08-15,2020-08-14
749,bb2009,2019-09-17,2020-09-14
750,bb2010,2019-10-22,2020-10-22
751,bb2011,2019-11-15,2020-11-13
752,bb8888,2013-12-06,2030-01-01
753,bb9999,2013-12-06,2030-01-01
754,bu1402,2013-10-09,2014-02-17
755,bu1403,2013-10-09,2014-03-17
756,bu1404,2013-10-16,2014-04-15
757,bu1405,2013-11-18,2014-05-15
758,bu1406,2013-10-09,2014-06-16
759,bu1407,2014-01-16,2014-07-15
760,bu1408,2014-02-18,2014-08-15
761,bu1409,2013-10-09,2014-09-15
762,bu1410,2014-04-16,2014-10-15
763,bu1411,2014-05-16,2014-11-17
764,bu1412,2013-10-09,2014-12-15
765,bu1501,2014-07-16,2015-01-15
766,bu1502,2014-08-18,2015-02-10
767,bu1503,2013-10-09,2015-03-16
768,bu1504,2014-10-16,2015-04-15
769,bu1505,2014-11-18,2015-05-15
770,bu1506,2013-10-09,2015-06-15
771,bu1507,2015-01-16,2015-07-15
772,bu1508,2015-02-16,2015-08-17
773,bu1509,2013-10-09,2015-09-15
774,bu1510,2015-04-16,2015-10-15
775,bu1511,2015-05-18,2015-11-16
776,bu1512,2013-12-17,2015-12-15
777,bu1601,2015-07-16,2016-01-15
778,bu1602,2015-08-18,2016-02-15
779,bu1603,2014-03-18,2016-03-15
780,bu1604,2015-10-16,2016-04-15
781,bu1605,2015-11-17,2016-05-16
782,bu1606,2014-06-17,2016-06-15
783,bu1607,2016-01-18,2016-07-15
784,bu1608,2016-02-16,2016-08-15
785,bu1609,2014-09-16,2016-09-19
786,bu1610,2016-04-18,2016-10-17
787,bu1611,2016-05-17,2016-11-15
788,bu1612,2014-12-16,2016-12-15
789,bu1701,2016-07-18,2017-01-16
790,bu1702,2016-08-16,2017-02-15
791,bu1703,2015-03-17,2017-03-15
792,bu1704,2016-10-18,2017-04-17
793,bu1705,2016-11-16,2017-05-15
794,bu1706,2015-06-16,2017-06-15
795,bu1707,2017-01-17,2017-07-17
796,bu1708,2017-02-16,2017-08-15
797,bu1709,2015-09-16,2017-09-15
798,bu1710,2017-04-18,2017-10-16
799,bu1711,2017-05-16,2017-11-15
800,bu1712,2015-12-16,2017-12-15
801,bu1801,2017-07-18,2018-01-15
802,bu1802,2017-08-16,2018-02-09
803,bu1803,2016-03-16,2018-03-15
804,bu1804,2017-10-17,2018-04-16
805,bu1805,2017-11-16,2018-05-15
806,bu1806,2016-06-16,2018-06-15
807,bu1807,2018-01-16,2018-07-16
808,bu1808,2018-02-12,2018-08-15
809,bu1809,2016-09-20,2018-09-17
810,bu1810,2018-04-17,2018-10-15
811,bu1811,2018-05-16,2018-11-15
812,bu1812,2016-12-16,2018-12-17
813,bu1901,2018-07-17,2019-01-15
814,bu1902,2018-08-16,2019-02-15
815,bu1903,2017-03-16,2019-03-15
816,bu1904,2018-10-16,2019-04-15
817,bu1905,2018-11-16,2019-05-15
818,bu1906,2017-06-16,2019-06-17
819,bu1907,2019-01-16,2019-07-15
820,bu1908,2019-02-18,2019-08-15
821,bu1909,2017-09-18,2019-09-16
822,bu1910,2019-04-16,2019-10-15
823,bu1911,2019-05-16,2019-11-15
824,bu1912,2017-12-18,2019-12-16
825,bu2001,2019-07-16,2020-01-15
826,bu2002,2019-08-16,2020-02-17
827,bu2003,2018-03-16,2020-03-16
828,bu2004,2019-10-16,2020-04-15
829,bu2005,2019-11-18,2020-05-15
830,bu2006,2018-06-19,2020-06-15
831,bu2009,2018-09-18,2020-09-15
832,bu2012,2018-12-18,2020-12-15
833,bu2103,2019-03-18,2021-03-15
834,bu2106,2019-06-18,2021-06-15
835,bu2109,2019-09-17,2021-09-15
836,bu8888,2013-10-09,2030-01-01
837,bu9999,2013-10-09,2030-01-01
838,c0501,2004-09-22,2005-01-17
839,c0503,2004-09-22,2005-03-14
840,c0505,2004-09-22,2005-05-20
841,c0507,2004-09-22,2005-07-14
842,c0509,2004-09-22,2005-09-14
843,c0511,2004-09-22,2005-11-14
844,c0601,2005-01-18,2006-01-17
845,c0603,2005-03-15,2006-03-14
846,c0605,2005-05-23,2006-05-19
847,c0607,2005-07-15,2006-07-14
848,c0609,2005-09-15,2006-09-14
849,c0611,2005-11-15,2006-11-14
850,c0701,2006-01-18,2007-01-17
851,c0703,2006-03-15,2007-03-14
852,c0705,2006-05-22,2007-05-21
853,c0707,2006-07-17,2007-07-13
854,c0709,2006-09-15,2007-09-14
855,c0711,2006-11-15,2007-11-14
856,c0801,2007-01-18,2008-01-15
857,c0803,2007-03-15,2008-03-14
858,c0805,2007-05-22,2008-05-16
859,c0807,2007-07-16,2008-07-14
860,c0809,2007-09-17,2008-09-12
861,c0811,2007-11-15,2008-11-14
862,c0901,2008-01-16,2009-01-16
863,c0903,2008-03-17,2009-03-13
864,c0905,2008-05-19,2009-05-15
865,c0907,2008-07-15,2009-07-14
866,c0909,2008-09-16,2009-09-14
867,c0911,2008-11-17,2009-11-13
868,c1001,2009-01-19,2010-01-15
869,c1003,2009-03-16,2010-03-12
870,c1005,2009-05-18,2010-05-17
871,c1007,2009-07-15,2010-07-14
872,c1009,2009-09-15,2010-09-14
873,c1011,2009-11-16,2010-11-12
874,c1101,2010-01-18,2011-01-17
875,c1103,2010-03-15,2011-03-14
876,c1105,2010-05-18,2011-05-16
877,c1107,2010-07-15,2011-07-14
878,c1109,2010-09-15,2011-09-15
879,c1111,2010-11-15,2011-11-14
880,c1201,2011-01-18,2012-01-17
881,c1203,2011-03-15,2012-03-14
882,c1205,2011-05-17,2012-05-15
883,c1207,2011-07-15,2012-07-13
884,c1209,2011-09-16,2012-09-14
885,c1211,2011-11-15,2012-11-14
886,c1301,2012-01-18,2013-01-17
887,c1303,2012-03-15,2013-03-14
888,c1305,2012-05-16,2013-05-15
889,c1307,2012-07-16,2013-07-12
890,c1309,2012-09-17,2013-09-13
891,c1311,2012-11-15,2013-11-14
892,c1401,2013-01-18,2014-01-15
893,c1403,2013-03-15,2014-03-14
894,c1405,2013-05-16,2014-05-16
895,c1407,2013-07-15,2014-07-14
896,c1409,2013-09-16,2014-09-15
897,c1411,2013-11-15,2014-11-14
898,c1501,2014-01-16,2015-01-16
899,c1503,2014-03-17,2015-03-13
900,c1505,2014-05-19,2015-05-15
901,c1507,2014-07-15,2015-07-14
902,c1509,2014-09-16,2015-09-16
903,c1511,2014-11-17,2015-11-13
904,c1601,2015-01-19,2016-01-15
905,c1603,2015-03-16,2016-03-14
906,c1605,2015-05-18,2016-05-16
907,c1607,2015-07-15,2016-07-14
908,c1609,2015-09-17,2016-09-14
909,c1611,2015-11-16,2016-11-14
910,c1701,2016-01-18,2017-01-16
911,c1703,2016-03-15,2017-03-14
912,c1705,2016-05-17,2017-05-15
913,c1707,2016-07-15,2017-07-14
914,c1709,2016-09-19,2017-09-14
915,c1711,2016-11-15,2017-11-14
916,c1801,2017-01-17,2018-01-15
917,c1803,2017-03-15,2018-03-14
918,c1805,2017-05-16,2018-05-15
919,c1807,2017-07-17,2018-07-13
920,c1809,2017-09-15,2018-09-14
921,c1811,2017-11-15,2018-11-14
922,c1901,2018-01-16,2019-01-15
923,c1903,2018-03-15,2019-03-14
924,c1905,2018-05-16,2019-05-17
925,c1907,2018-07-16,2019-07-12
926,c1909,2018-09-17,2019-09-16
927,c1911,2018-11-15,2019-11-14
928,c2001,2019-01-16,2020-01-15
929,c2003,2019-03-15,2020-03-13
930,c2005,2019-05-20,2020-05-15
931,c2007,2019-07-15,2020-07-14
932,c2009,2019-09-17,2020-09-14
933,c2011,2019-11-15,2020-11-13
934,c8888,2005-01-03,2030-01-01
935,c9999,2005-01-03,2030-01-01
936,cf501,2004-06-01,2005-01-17
937,cf503,2004-06-01,2005-03-14
938,cf504,2004-06-01,2005-04-14
939,cf505,2004-06-01,2005-05-20
940,cf506,2004-07-01,2005-06-14
941,cf507,2004-08-02,2005-07-14
942,cf508,2004-09-01,2005-08-12
943,cf509,2004-10-08,2005-09-14
944,cf510,2004-11-01,2005-10-21
945,cf511,2004-12-01,2005-11-14
946,cf512,2005-01-04,2005-12-14
947,cf601,2005-02-01,2006-01-17
948,cf603,2005-04-01,2006-03-14
949,cf604,2005-05-09,2006-04-14
950,cf605,2005-06-01,2006-05-19
951,cf606,2005-07-01,2006-06-14
952,cf607,2005-08-01,2006-07-14
953,cf608,2005-09-01,2006-08-14
954,cf609,2005-10-10,2006-09-14
955,cf610,2005-11-01,2006-10-20
956,cf611,2005-12-01,2006-11-14
957,cf612,2006-01-04,2006-12-14
958,cf701,2006-02-06,2007-01-17
959,cf703,2006-04-03,2007-03-14
960,cf704,2006-05-08,2007-04-13
961,cf705,2006-06-01,2007-05-21
962,cf707,2006-07-17,2007-07-13
963,cf709,2006-09-15,2007-09-14
964,cf711,2006-11-15,2007-11-14
965,cf801,2007-01-18,2008-01-15
966,cf803,2007-03-15,2008-03-14
967,cf805,2007-05-22,2008-05-16
968,cf807,2007-07-16,2008-07-14
969,cf809,2007-09-17,2008-09-12
970,cf811,2007-11-15,2008-11-14
971,cf901,2008-01-16,2009-01-16
972,cf903,2008-03-17,2009-03-13
973,cf905,2008-05-19,2009-05-15
974,cf907,2008-07-15,2009-07-14
975,cf909,2008-09-16,2009-09-14
976,cf911,2008-11-17,2009-11-13
977,cf001,2009-01-19,2010-01-15
978,cf003,2009-03-16,2010-03-12
979,cf005,2009-05-18,2010-05-17
980,cf007,2009-07-15,2010-07-14
981,cf009,2009-09-15,2010-09-14
982,cf011,2009-11-16,2010-11-12
983,cf101,2010-01-18,2011-01-17
984,cf103,2010-03-15,2011-03-14
985,cf105,2010-05-18,2011-05-16
986,cf107,2010-07-15,2011-07-14
987,cf109,2010-09-15,2011-09-15
988,cf111,2010-11-15,2011-11-14
989,cf201,2011-01-18,2012-01-17
990,cf203,2011-03-15,2012-03-14
991,cf205,2011-05-17,2012-05-15
992,cf207,2011-07-15,2012-07-13
993,cf209,2011-09-16,2012-09-14
994,cf211,2011-11-15,2012-11-14
995,cf301,2012-01-18,2013-01-17
996,cf303,2012-03-15,2013-03-14
997,cf305,2012-05-16,2013-05-15
998,cf307,2012-07-16,2013-07-12
999,cf309,2012-09-17,2013-09-13
1000,cf311,2012-12-25,2013-11-14
1001,cf401,2013-01-18,2014-01-15
1002,cf403,2013-03-15,2014-03-14
1003,cf405,2013-05-16,2014-05-16
1004,cf407,2013-07-15,2014-07-14
1005,cf409,2013-09-16,2014-09-15
1006,cf411,2013-11-15,2014-11-14
1007,cf501,2014-01-16,2015-01-16
1008,cf503,2014-03-17,2015-03-13
1009,cf505,2014-05-19,2015-05-15
1010,cf507,2014-07-15,2015-07-14
1011,cf509,2014-09-16,2015-09-16
1012,cf511,2014-11-17,2015-11-13
1013,cf601,2015-01-19,2016-01-15
1014,cf603,2015-03-16,2016-03-14
1015,cf605,2015-05-18,2016-05-16
1016,cf607,2015-07-15,2016-07-14
1017,cf609,2015-09-17,2016-09-14
1018,cf611,2015-11-16,2016-11-14
1019,cf701,2016-01-18,2017-01-16
1020,cf703,2016-03-15,2017-03-14
1021,cf705,2016-05-17,2017-05-15
1022,cf707,2016-07-15,2017-07-14
1023,cf709,2016-09-19,2017-09-14
1024,cf711,2016-11-15,2017-11-14
1025,cf801,2017-01-17,2018-01-15
1026,cf803,2017-03-15,2018-03-14
1027,cf805,2017-05-16,2018-05-15
1028,cf807,2017-07-17,2018-07-13
1029,cf809,2017-09-15,2018-09-14
1030,cf811,2017-11-15,2018-11-14
1031,cf901,2018-01-16,2019-01-15
1032,cf903,2018-03-15,2019-03-14
1033,cf905,2018-05-16,2019-05-17
1034,cf907,2018-07-16,2019-07-12
1035,cf909,2018-09-17,2019-09-16
1036,cf911,2018-11-15,2019-11-14
1037,cf001,2019-01-16,2020-01-15
1038,cf003,2019-03-15,2020-03-13
1039,cf005,2019-05-20,2020-05-15
1040,cf007,2019-07-15,2020-07-14
1041,cf009,2019-09-17,2020-09-14
1042,cf011,2019-11-15,2020-11-13
1043,cf8888,2005-01-03,2030-01-01
1044,cf9999,2005-01-03,2030-01-01
1045,cj912,2019-04-30,2019-12-13
1046,cj001,2019-04-30,2020-01-15
1047,cj003,2019-04-30,2020-03-13
1048,cj005,2019-04-30,2020-05-15
1049,cj007,2019-07-15,2020-07-14
1050,cj009,2019-09-17,2020-09-14
1051,cj8888,2019-04-30,2030-01-01
1052,cj9999,2019-04-30,2030-01-01
1053,cs1503,2014-12-19,2015-03-13
1054,cs1505,2014-12-19,2015-05-15
1055,cs1507,2014-12-19,2015-07-14
1056,cs1509,2014-12-19,2015-09-16
1057,cs1511,2014-12-19,2015-11-13
1058,cs1601,2015-01-19,2016-01-15
1059,cs1603,2015-03-16,2016-03-14
1060,cs1605,2015-05-18,2016-05-16
1061,cs1607,2015-07-15,2016-07-14
1062,cs1609,2015-09-17,2016-09-14
1063,cs1611,2015-11-16,2016-11-14
1064,cs1701,2016-01-18,2017-01-16
1065,cs1703,2016-03-15,2017-03-14
1066,cs1705,2016-05-17,2017-05-15
1067,cs1707,2016-07-15,2017-07-14
1068,cs1709,2016-09-19,2017-09-14
1069,cs1711,2016-11-15,2017-11-14
1070,cs1801,2017-01-17,2018-01-15
1071,cs1803,2017-03-15,2018-03-14
1072,cs1805,2017-05-16,2018-05-15
1073,cs1807,2017-07-17,2018-07-13
1074,cs1809,2017-09-15,2018-09-14
1075,cs1811,2017-11-15,2018-11-14
1076,cs1901,2018-01-16,2019-01-15
1077,cs1903,2018-03-15,2019-03-14
1078,cs1905,2018-05-16,2019-05-17
1079,cs1907,2018-07-16,2019-07-12
1080,cs1909,2018-09-17,2019-09-16
1081,cs1911,2018-11-15,2019-11-14
1082,cs2001,2019-01-16,2020-01-15
1083,cs2003,2019-03-15,2020-03-13
1084,cs2005,2019-05-20,2020-05-15
1085,cs2007,2019-07-15,2020-07-14
1086,cs2009,2019-09-17,2020-09-14
1087,cs2011,2019-11-15,2020-11-13
1088,cs8888,2014-12-19,2030-01-01
1089,cs9999,2014-12-19,2030-01-01
1090,cu0501,2004-02-12,2005-01-17
1091,cu0502,2004-03-15,2005-02-04
1092,cu0503,2004-03-17,2005-03-15
1093,cu0504,2004-04-29,2005-04-15
1094,cu0505,2004-06-08,2005-05-16
1095,cu0506,2004-08-05,2005-06-15
1096,cu0507,2004-08-17,2005-07-15
1097,cu0508,2004-09-16,2005-08-15
1098,cu0509,2004-09-22,2005-09-15
1099,cu0510,2004-10-19,2005-10-17
1100,cu0511,2004-11-19,2005-11-15
1101,cu0512,2004-12-29,2005-12-15
1102,cu0601,2005-01-24,2006-01-16
1103,cu0602,2005-02-16,2006-02-15
1104,cu0603,2005-04-07,2006-03-15
1105,cu0604,2005-04-22,2006-04-17
1106,cu0605,2005-05-24,2006-05-15
1107,cu0606,2005-06-16,2006-06-15
1108,cu0607,2005-07-18,2006-07-17
1109,cu0608,2005-08-16,2006-08-15
1110,cu0609,2005-09-16,2006-09-15
1111,cu0610,2005-10-19,2006-10-16
1112,cu0611,2005-11-29,2006-11-15
1113,cu0612,2005-12-27,2006-12-15
1114,cu0701,2006-01-17,2007-01-15
1115,cu0702,2006-02-20,2007-02-12
1116,cu0703,2006-03-17,2007-03-15
1117,cu0704,2006-04-24,2007-04-16
1118,cu0705,2006-05-24,2007-05-15
1119,cu0706,2006-06-20,2007-06-15
1120,cu0707,2006-07-21,2007-07-16
1121,cu0708,2006-08-18,2007-08-15
1122,cu0709,2006-10-09,2007-09-17
1123,cu0710,2006-11-02,2007-10-15
1124,cu0711,2006-11-17,2007-11-15
1125,cu0712,2006-12-21,2007-12-17
1126,cu0801,2007-02-05,2008-01-15
1127,cu0802,2007-03-01,2008-02-15
1128,cu0803,2007-03-16,2008-03-17
1129,cu0804,2007-04-17,2008-04-15
1130,cu0805,2007-05-16,2008-05-15
1131,cu0806,2007-06-19,2008-06-16
1132,cu0807,2007-07-17,2008-07-15
1133,cu0808,2007-08-17,2008-08-15
1134,cu0809,2007-09-20,2008-09-16
1135,cu0810,2007-10-16,2008-10-15
1136,cu0811,2007-11-16,2008-11-17
1137,cu0812,2007-12-18,2008-12-15
1138,cu0901,2008-01-16,2009-01-15
1139,cu0902,2008-02-18,2009-02-16
1140,cu0903,2008-03-18,2009-03-16
1141,cu0904,2008-04-24,2009-04-15
1142,cu0905,2008-06-05,2009-05-15
1143,cu0906,2008-06-17,2009-06-15
1144,cu0907,2008-07-23,2009-07-15
1145,cu0908,2008-08-22,2009-08-17
1146,cu0909,2008-09-19,2009-09-15
1147,cu0910,2008-10-28,2009-10-15
1148,cu0911,2008-11-27,2009-11-16
1149,cu0912,2008-12-16,2009-12-15
1150,cu1001,2009-01-19,2010-01-15
1151,cu1002,2009-02-19,2010-02-09
1152,cu1003,2009-03-17,2010-03-15
1153,cu1004,2009-04-16,2010-04-15
1154,cu1005,2009-05-18,2010-05-17
1155,cu1006,2009-06-16,2010-06-17
1156,cu1007,2009-07-16,2010-07-15
1157,cu1008,2009-08-18,2010-08-16
1158,cu1009,2009-09-21,2010-09-15
1159,cu1010,2009-10-16,2010-10-15
1160,cu1011,2009-11-18,2010-11-15
1161,cu1012,2009-12-16,2010-12-15
1162,cu1101,2010-01-18,2011-01-17
1163,cu1102,2010-02-22,2011-02-15
1164,cu1103,2010-03-16,2011-03-15
1165,cu1104,2010-04-16,2011-04-15
1166,cu1105,2010-05-18,2011-05-16
1167,cu1106,2010-06-18,2011-06-15
1168,cu1107,2010-07-16,2011-07-15
1169,cu1108,2010-08-17,2011-08-15
1170,cu1109,2010-09-16,2011-09-15
1171,cu1110,2010-10-18,2011-10-17
1172,cu1111,2010-11-16,2011-11-15
1173,cu1112,2010-12-16,2011-12-15
1174,cu1201,2011-01-18,2012-01-13
1175,cu1202,2011-02-16,2012-02-15
1176,cu1203,2011-03-16,2012-03-15
1177,cu1204,2011-04-18,2012-04-16
1178,cu1205,2011-05-17,2012-05-15
1179,cu1206,2011-06-16,2012-06-15
1180,cu1207,2011-07-18,2012-07-16
1181,cu1208,2011-08-16,2012-08-15
1182,cu1209,2011-09-16,2012-09-17
1183,cu1210,2011-10-18,2012-10-15
1184,cu1211,2011-11-16,2012-11-15
1185,cu1212,2011-12-16,2012-12-17
1186,cu1301,2012-01-16,2013-01-15
1187,cu1302,2012-02-16,2013-02-18
1188,cu1303,2012-03-16,2013-03-15
1189,cu1304,2012-04-17,2013-04-15
1190,cu1305,2012-05-16,2013-05-15
1191,cu1306,2012-06-18,2013-06-17
1192,cu1307,2012-07-17,2013-07-15
1193,cu1308,2012-08-16,2013-08-15
1194,cu1309,2012-09-18,2013-09-16
1195,cu1310,2012-10-16,2013-10-15
1196,cu1311,2012-11-16,2013-11-15
1197,cu1312,2012-12-18,2013-12-16
1198,cu1401,2013-01-16,2014-01-15
1199,cu1402,2013-02-19,2014-02-17
1200,cu1403,2013-03-18,2014-03-17
1201,cu1404,2013-04-16,2014-04-15
1202,cu1405,2013-05-16,2014-05-15
1203,cu1406,2013-06-18,2014-06-16
1204,cu1407,2013-07-16,2014-07-15
1205,cu1408,2013-08-16,2014-08-15
1206,cu1409,2013-09-17,2014-09-15
1207,cu1410,2013-10-16,2014-10-15
1208,cu1411,2013-11-18,2014-11-17
1209,cu1412,2013-12-17,2014-12-15
1210,cu1501,2014-01-16,2015-01-15
1211,cu1502,2014-02-18,2015-02-10
1212,cu1503,2014-03-18,2015-03-16
1213,cu1504,2014-04-16,2015-04-15
1214,cu1505,2014-05-16,2015-05-15
1215,cu1506,2014-06-17,2015-06-15
1216,cu1507,2014-07-16,2015-07-15
1217,cu1508,2014-08-18,2015-08-17
1218,cu1509,2014-09-16,2015-09-15
1219,cu1510,2014-10-16,2015-10-15
1220,cu1511,2014-11-18,2015-11-16
1221,cu1512,2014-12-16,2015-12-15
1222,cu1601,2015-01-16,2016-01-15
1223,cu1602,2015-02-16,2016-02-15
1224,cu1603,2015-03-17,2016-03-15
1225,cu1604,2015-04-16,2016-04-15
1226,cu1605,2015-05-18,2016-05-16
1227,cu1606,2015-06-16,2016-06-15
1228,cu1607,2015-07-16,2016-07-15
1229,cu1608,2015-08-18,2016-08-15
1230,cu1609,2015-09-16,2016-09-19
1231,cu1610,2015-10-16,2016-10-17
1232,cu1611,2015-11-17,2016-11-15
1233,cu1612,2015-12-16,2016-12-15
1234,cu1701,2016-01-18,2017-01-16
1235,cu1702,2016-02-16,2017-02-15
1236,cu1703,2016-03-16,2017-03-15
1237,cu1704,2016-04-18,2017-04-17
1238,cu1705,2016-05-17,2017-05-15
1239,cu1706,2016-06-16,2017-06-15
1240,cu1707,2016-07-18,2017-07-17
1241,cu1708,2016-08-16,2017-08-15
1242,cu1709,2016-09-20,2017-09-15
1243,cu1710,2016-10-18,2017-10-16
1244,cu1711,2016-11-16,2017-11-15
1245,cu1712,2016-12-16,2017-12-15
1246,cu1801,2017-01-17,2018-01-15
1247,cu1802,2017-02-16,2018-02-09
1248,cu1803,2017-03-16,2018-03-15
1249,cu1804,2017-04-18,2018-04-16
1250,cu1805,2017-05-16,2018-05-15
1251,cu1806,2017-06-16,2018-06-15
1252,cu1807,2017-07-18,2018-07-16
1253,cu1808,2017-08-16,2018-08-15
1254,cu1809,2017-09-18,2018-09-17
1255,cu1810,2017-10-17,2018-10-15
1256,cu1811,2017-11-16,2018-11-15
1257,cu1812,2017-12-18,2018-12-17
1258,cu1901,2018-01-16,2019-01-15
1259,cu1902,2018-02-12,2019-02-15
1260,cu1903,2018-03-16,2019-03-15
1261,cu1904,2018-04-17,2019-04-15
1262,cu1905,2018-05-16,2019-05-15
1263,cu1906,2018-06-19,2019-06-17
1264,cu1907,2018-07-17,2019-07-15
1265,cu1908,2018-08-16,2019-08-15
1266,cu1909,2018-09-18,2019-09-16
1267,cu1910,2018-10-16,2019-10-15
1268,cu1911,2018-11-16,2019-11-15
1269,cu1912,2018-12-18,2019-12-16
1270,cu2001,2019-01-16,2020-01-15
1271,cu2002,2019-02-18,2020-02-17
1272,cu2003,2019-03-18,2020-03-16
1273,cu2004,2019-04-16,2020-04-15
1274,cu2005,2019-05-16,2020-05-15
1275,cu2006,2019-06-18,2020-06-15
1276,cu2007,2019-07-16,2020-07-15
1277,cu2008,2019-08-16,2020-08-17
1278,cu2009,2019-09-17,2020-09-15
1279,cu2010,2019-10-16,2020-10-15
1280,cu2011,2019-11-18,2020-11-16
1281,cu8888,2005-01-03,2030-01-01
1282,cu9999,2005-01-03,2030-01-01
1283,cy801,2017-08-18,2018-01-15
1284,cy802,2017-08-18,2018-02-14
1285,cy803,2017-08-18,2018-03-14
1286,cy804,2017-08-18,2018-04-17
1287,cy805,2017-08-18,2018-05-15
1288,cy806,2017-08-18,2018-06-14
1289,cy807,2017-08-18,2018-07-13
1290,cy808,2017-08-18,2018-08-14
1291,cy809,2017-09-15,2018-09-14
1292,cy810,2017-10-23,2018-10-19
1293,cy811,2017-11-15,2018-11-14
1294,cy812,2017-12-15,2018-12-14
1295,cy901,2018-01-16,2019-01-15
1296,cy902,2018-02-22,2019-02-21
1297,cy903,2018-03-15,2019-03-14
1298,cy904,2018-04-18,2019-04-15
1299,cy905,2018-05-16,2019-05-17
1300,cy906,2018-06-15,2019-06-17
1301,cy907,2018-07-16,2019-07-12
1302,cy908,2018-08-15,2019-08-14
1303,cy909,2018-09-17,2019-09-16
1304,cy910,2018-10-22,2019-10-21
1305,cy911,2018-11-15,2019-11-14
1306,cy912,2018-12-17,2019-12-13
1307,cy001,2019-01-16,2020-01-15
1308,cy002,2019-02-22,2020-02-14
1309,cy003,2019-03-15,2020-03-13
1310,cy004,2019-04-16,2020-04-14
1311,cy005,2019-05-20,2020-05-15
1312,cy006,2019-06-18,2020-06-12
1313,cy007,2019-07-15,2020-07-14
1314,cy008,2019-08-15,2020-08-14
1315,cy009,2019-09-17,2020-09-14
1316,cy010,2019-10-22,2020-10-22
1317,cy011,2019-11-15,2020-11-13
1318,cy8888,2017-08-18,2030-01-01
1319,cy9999,2017-08-18,2030-01-01
1320,eb2004,2019-09-26,2020-04-27
1321,eb2005,2019-09-26,2020-05-26
1322,eb2006,2019-09-26,2020-06-23
1323,eb2007,2019-09-26,2020-07-28
1324,eb2008,2019-09-26,2020-08-26
1325,eb2009,2019-09-26,2020-09-25
1326,eb2010,2019-10-29,2020-10-27
1327,eb2011,2019-11-27,2020-11-25
1328,eb8888,2019-09-26,2030-01-01
1329,eb9999,2019-09-26,2030-01-01
1330,eg1906,2018-12-10,2019-06-25
1331,eg1907,2018-12-10,2019-07-26
1332,eg1908,2018-12-10,2019-08-27
1333,eg1909,2018-12-10,2019-09-25
1334,eg1910,2018-12-10,2019-10-28
1335,eg1911,2018-12-10,2019-11-26
1336,eg1912,2018-12-26,2019-12-26
1337,eg2001,2019-01-29,2020-01-21
1338,eg2002,2019-02-26,2020-02-25
1339,eg2003,2019-03-27,2020-03-26
1340,eg2004,2019-04-26,2020-04-27
1341,eg2005,2019-05-29,2020-05-26
1342,eg2006,2019-06-26,2020-06-23
1343,eg2007,2019-07-29,2020-07-28
1344,eg2008,2019-08-28,2020-08-26
1345,eg2009,2019-09-26,2020-09-25
1346,eg2010,2019-10-29,2020-10-27
1347,eg2011,2019-11-27,2020-11-25
1348,eg8888,2018-12-10,2030-01-01
1349,eg9999,2018-12-10,2030-01-01
1350,er909,2009-04-20,2009-09-22
1351,er911,2009-04-20,2009-11-20
1352,er001,2009-04-20,2010-01-21
